snapshot_at,Article,Shop,Consegnato_Qty,Venduto_Qty,Periodo_Qty,Altro_Venduto_Qty,Sellout_Percent,Sellout_Clamped,Valore_1,Valore_2,Valore_3,Valore_4
2026-03-19 13:43:43+01:00,59/0017CTM,AR,6.0,1.0,1.0,5.0,17.0,17.0,258.0,106.0,106.0,215.0
2026-03-19 13:43:43+01:00,59/0017CTM,BO,6.0,0.0,0.0,6.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,BS,5.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,CA,5.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,CO,6.0,1.0,1.0,5.0,17.0,17.0,258.0,95.0,95.0,215.0
2026-03-19 13:43:43+01:00,59/0017CTM,EU,6.0,1.0,1.0,6.0,17.0,17.0,258.0,106.0,106.0,258.0
2026-03-19 13:43:43+01:00,59/0017CTM,LN,5.0,1.0,0.0,5.0,20.0,20.0,215.0,106.0,0.0,215.0
2026-03-19 13:43:43+01:00,59/0017CTM,M4,0.0,0.0,0.0,1.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,ME2,4.0,0.0,0.0,3.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,NV,5.0,1.0,1.0,3.0,20.0,20.0,215.0,106.0,106.0,129.0
2026-03-19 13:43:43+01:00,59/0017CTM,OR,5.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,PD,5.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,PM,6.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,RI,5.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,RM,6.0,0.0,0.0,6.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,SC,5.0,1.0,0.0,4.0,20.0,20.0,215.0,106.0,0.0,172.0
2026-03-19 13:43:43+01:00,59/0017CTM,TV,5.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,VR,5.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0017CTM,WEB,0.0,2.0,2.0,0.0,9.0,9.0,3870.0,835.0,624.0,3483.0
2026-03-19 13:43:43+01:00,59/004RFCTM,AR,6.0,2.0,2.0,4.0,33.0,33.0,314.0,220.0,220.0,209.0
2026-03-19 13:43:43+01:00,59/004RFCTM,BO,6.0,2.0,2.0,2.0,33.0,33.0,314.0,220.0,220.0,105.0
2026-03-19 13:43:43+01:00,59/004RFCTM,BS,6.0,2.0,1.0,4.0,33.0,33.0,314.0,208.0,110.0,209.0
2026-03-19 13:43:43+01:00,59/004RFCTM,CO,6.0,1.0,0.0,1.0,17.0,17.0,314.0,122.0,0.0,52.0
2026-03-19 13:43:43+01:00,59/004RFCTM,EU,6.0,4.0,3.0,5.0,67.0,67.0,314.0,452.0,330.0,261.0
