Article,Size,Qty,From,To,Reason,DispatchPolicy,DispatchWeekday,DispatchDate,EtaDate,ConsolidationStatus,RouteCluster,PlanningNote
59/0017CTM,39,1.0,M4,WEB,Top-up to target,FLEX_STANDARD,Thursday,2026-03-19,2026-03-20,PLANNED,,Negozio fuori cluster fisso: instradamento flessibile.
59/004RFCTM,36,1.0,AR,BO,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/004RFCTM,36,1.0,BO,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFCTM,37,1.0,BO,MI,Fallback to outlet (unfillable run),ROUTE_WEEKLY,Friday,2026-03-20,2026-03-21,PLANNED,FRI,Pianificato su giro settimanale negozi.
59/004RFCTM,38,1.0,BO,MI,Fallback to outlet (unfillable run),ROUTE_WEEKLY,Friday,2026-03-20,2026-03-21,PLANNED,FRI,Pianificato su giro settimanale negozi.
59/004RFCTM,39,1.0,BO,MI,Fallback to outlet (unfillable run),ROUTE_WEEKLY,Friday,2026-03-20,2026-03-21,PLANNED,FRI,Pianificato su giro settimanale negozi.
59/004RFCTM,36,1.0,BS,AR,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFCTM,38,1.0,BS,MI,Fallback to outlet (unfillable run),ROUTE_WEEKLY,Friday,2026-03-20,2026-03-21,PLANNED,FRI,Pianificato su giro settimanale negozi.
59/004RFCTM,39,1.0,BS,MI,Fallback to outlet (unfillable run),ROUTE_WEEKLY,Friday,2026-03-20,2026-03-21,PLANNED,FRI,Pianificato su giro settimanale negozi.
59/004RFCTM,36,1.0,EU,AR,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,37,1.0,LN,BO,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/004RFCTM,40,1.0,LN,BO,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/004RFCTM,41,1.0,LN,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,38,1.0,LN,PM,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/004RFCTM,37,1.0,NV,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFCTM,40,1.0,NV,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFCTM,39,1.0,NV,PM,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/004RFCTM,36,1.0,OR,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,39,1.0,PD,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFCTM,37,1.0,PM,PD,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/004RFCTM,39,1.0,PM,PD,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/004RFCTM,38,1.0,RI,MI,Fallback to outlet (unfillable run),ROUTE_WEEKLY,Friday,2026-03-20,2026-03-21,PLANNED,FRI,Pianificato su giro settimanale negozi.
59/004RFCTM,40,1.0,RI,MI,Fallback to outlet (unfillable run),ROUTE_WEEKLY,Friday,2026-03-20,2026-03-21,PLANNED,FRI,Pianificato su giro settimanale negozi.
59/004RFCTM,37,1.0,RI,PM,Fill required run,COURIER_2D_PM_CONSOLIDATED,Wednesday,2026-03-18,2026-03-20,PLANNED,,PM spedito con logica RM/EU a consolidamento raggiunto.
59/004RFCTM,37,1.0,RM,MI,Fallback to outlet (unfillable run),COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,38,1.0,RM,MI,Fallback to outlet (unfillable run),COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,39,1.0,RM,MI,Fallback to outlet (unfillable run),COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,37,1.0,TV,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,38,1.0,TV,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,39,1.0,TV,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFCTM,40,1.0,TV,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFPTM,36,1.0,AR,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFPTM,37,1.0,AR,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFPTM,39,1.0,AR,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFPTM,40,1.0,AR,CO,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFPTM,37,1.0,BO,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFPTM,38,1.0,BO,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFPTM,35,1.0,BO,RM,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFPTM,36,1.0,BO,RM,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFPTM,40,1.0,BS,RM,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFPTM,37,1.0,CA,ME2,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/004RFPTM,38,1.0,CA,ME2,Fill required run,ROUTE_WEEKLY,Wednesday,2026-03-18,2026-03-19,PLANNED,WED,Pianificato su giro settimanale negozi.
59/004RFPTM,37,1.0,CO,AR,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFPTM,36,1.0,CO,EU,Fill required run,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFPTM,40,1.0,CO,EU,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
59/004RFPTM,37,1.0,CO,OR,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFPTM,38,1.0,CO,OR,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFPTM,39,1.0,CO,OR,Fill required run,ROUTE_WEEKLY,Thursday,2026-03-19,2026-03-20,PLANNED,THU,Pianificato su giro settimanale negozi.
59/004RFPTM,39,1.0,CO,RM,Top-up to target,COURIER_2D_PALLET,Wednesday,2026-03-18,2026-03-20,PLANNED,,RM/EU corriere + bancali ogni 2 giorni.
