DispatchDate,DispatchWeekday,DispatchPolicy,ConsolidationStatus,From,To,Qty
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AR,CO,22.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AR,OR,9.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AR,PD,3.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AR,SC,38.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AR,TV,5.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AU,AR,15.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AU,CA,2.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AU,CO,24.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AU,OR,2.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AU,PD,6.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,AU,TV,6.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BO,AR,24.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BO,CA,1.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BO,CO,66.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BO,OR,20.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BO,PD,2.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BO,TV,1.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BS,AR,24.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BS,CA,2.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BS,CO,72.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BS,OR,29.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BS,PD,2.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,BS,TV,2.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CA,AR,28.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CA,CO,11.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CA,OR,6.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CA,PD,23.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CA,SC,8.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CA,TV,23.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CO,AR,18.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CO,CA,1.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CO,OR,29.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CO,PD,3.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CO,SC,26.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,CO,TV,3.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,LN,AR,52.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,LN,CA,49.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,LN,CO,6.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,LN,OR,9.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,LN,PD,22.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,LN,TV,9.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,M4,AR,9.0
2026-03-19,Thursday,ROUTE_WEEKLY,PLANNED,M4,CO,4.0
