Article,Size,From,To,Reason,Qty
59/0017CTM,39,M4,WEB,Top-up to target,1
59/004RFCTM,36,AR,BO,Fill required run,1
59/004RFCTM,36,BO,CO,Fill required run,1
59/004RFCTM,37,BO,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,38,BO,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,39,BO,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,36,BS,AR,Fill required run,1
59/004RFCTM,38,BS,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,39,BS,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,36,EU,AR,Top-up to target,1
59/004RFCTM,37,LN,BO,Fill required run,1
59/004RFCTM,40,LN,BO,Fill required run,1
59/004RFCTM,41,LN,EU,Top-up to target,1
59/004RFCTM,38,LN,PM,Fill required run,1
59/004RFCTM,37,NV,CO,Fill required run,1
59/004RFCTM,40,NV,CO,Fill required run,1
59/004RFCTM,39,NV,PM,Fill required run,1
59/004RFCTM,36,OR,EU,Top-up to target,1
59/004RFCTM,39,PD,CO,Fill required run,1
59/004RFCTM,37,PM,PD,Fill required run,1
59/004RFCTM,39,PM,PD,Fill required run,1
59/004RFCTM,38,RI,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,40,RI,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,37,RI,PM,Fill required run,1
59/004RFCTM,37,RM,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,38,RM,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,39,RM,MI,Fallback to outlet (unfillable run),1
59/004RFCTM,37,TV,EU,Top-up to target,1
59/004RFCTM,38,TV,EU,Top-up to target,1
59/004RFCTM,39,TV,EU,Top-up to target,1
59/004RFCTM,40,TV,EU,Top-up to target,1
59/004RFPTM,36,AR,CO,Fill required run,1
59/004RFPTM,37,AR,CO,Fill required run,1
59/004RFPTM,39,AR,CO,Fill required run,1
59/004RFPTM,40,AR,CO,Fill required run,1
59/004RFPTM,37,BO,EU,Top-up to target,1
59/004RFPTM,38,BO,EU,Top-up to target,1
59/004RFPTM,35,BO,RM,Top-up to target,1
59/004RFPTM,36,BO,RM,Top-up to target,1
59/004RFPTM,40,BS,RM,Top-up to target,1
59/004RFPTM,37,CA,ME2,Fill required run,1
59/004RFPTM,38,CA,ME2,Fill required run,1
59/004RFPTM,37,CO,AR,Fill required run,1
59/004RFPTM,36,CO,EU,Fill required run,1
59/004RFPTM,40,CO,EU,Top-up to target,1
59/004RFPTM,37,CO,OR,Fill required run,1
