Article,Size,Qty,From,To,Reason
59/0017CTM,39,1,M4,WEB,Top-up to target
59/0017CTM,41,1,AR,SC,Fallback to outlet (unfillable run)
59/0017CTM,37,1,AR,SC,Fallback to outlet (unfillable run)
59/0017CTM,38,1,AR,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,AR,SC,Fallback to outlet (unfillable run)
59/0017CTM,41,1,BO,SC,Fallback to outlet (unfillable run)
59/0017CTM,37,1,BO,SC,Fallback to outlet (unfillable run)
59/0017CTM,38,1,BO,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,BO,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,BO,SC,Fallback to outlet (unfillable run)
59/0017CTM,37,1,CO,SC,Fallback to outlet (unfillable run)
59/0017CTM,38,1,CO,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,CO,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,CO,SC,Fallback to outlet (unfillable run)
59/0017CTM,41,1,EU,SC,Fallback to outlet (unfillable run)
59/0017CTM,37,1,EU,SC,Fallback to outlet (unfillable run)
59/0017CTM,38,1,EU,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,EU,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,EU,SC,Fallback to outlet (unfillable run)
59/0017CTM,40,1,NV,SC,Fallback to outlet (unfillable run)
59/0017CTM,37,1,NV,SC,Fallback to outlet (unfillable run)
59/0017CTM,37,1,RM,SC,Fallback to outlet (unfillable run)
59/0017CTM,38,1,RM,SC,Fallback to outlet (unfillable run)
59/0017CTM,38,1,RM,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,RM,SC,Fallback to outlet (unfillable run)
59/0017CTM,39,1,RM,SC,Fallback to outlet (unfillable run)
59/004RFCTM,36,1,OR,EU,Top-up to target
59/004RFCTM,37,1,TV,EU,Top-up to target
59/004RFCTM,38,1,TV,EU,Top-up to target
59/004RFCTM,39,1,TV,EU,Top-up to target
59/004RFCTM,40,1,TV,EU,Top-up to target
59/004RFCTM,41,1,LN,EU,Top-up to target
59/004RFCTM,36,1,BS,AR,Fill required run
59/004RFCTM,36,1,EU,AR,Top-up to target
59/004RFCTM,36,1,AR,BO,Fill required run
59/004RFCTM,37,1,LN,BO,Fill required run
